Merlot Wine Data,,,,,,,,,,,,,,,,,,,,,,,,
Winery,,,Tinhorn,Tinhorn,Tinhorn,Quails Gate,Quails Gate,Quails Gate,Sandhill,Sandhill,Sandhill,Nk'Mip,Nk'Mip,Nk'Mip,Inniskilin,Inniskilin,Inniskilin,Cedar Creek,Cedar Creek,Cedar Creek,Arrowleaf,Arrowleaf,Arrowleaf,
Vintage Year,,,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,
Alcohol Content,,,13.70%,13.70%,13.70%,14.50%,14.50%,14.50%,14.50%,14.50%,14.50%,14.20%,14.20%,14.20%,14%,14%,14%,13.90%,13.90%,13.90%,14.80%,14.80%,14.80%,
Bottle Depth,,,Top,Middle,Bottom,Top,Middle,Bottom,Top,Middle,Bottom,Top,Middle,Bottom,Top,Middle,Bottom,Top,Middle,Bottom,Top,Middle,Bottom,
Feature ID,Retention Time,m/z,TH_T_50,TH_M_50,TH_B_50,QG_T_50,QG_M_50,QG_B_50,SH_T_50,SH_M_50,SH_B_50,NK_T_50,NK_M_50,NK_B_50,INN_T_50,INN_M_50,INN_B_50,CC_T_50,CC_M_50,CC_B_50,AL_T_50,AL_M_50,AL_B_50,
1.0518_608.21,1.0518,608.21,0,0,0,0,0.0596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251,0,0,
1.0534_676.1765,1.0534,676.1765,0,0,0,0,0,0,0,0,0.0505,0,0,0,0,0.0729,0,0,0,0,0,0,0,
1.0546_228.5447,1.0546,228.5447,0,0,0.0338,0,0.0134,0,0,0,0,0,0,0,0,0,0,0.0199,0,0,0,0,0,
1.0548_662.1631,1.0548,662.1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.0563_430.1392,1.0563,430.1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,
1.06_656.0766,1.06,656.0766,0,0,0.0223,0,0,0,0,0,0,0,0,0.0174,0,0,0,0,0,0,0,0,0,
1.0612_440.2069,1.0612,440.2069,0,0,0,0,0,0,0,0.068,0,0,0,0,0.0725,0,0,0,0,0,0,0,0,
1.0645_432.9411,1.0645,432.9411,0.0214,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.0653_548.1382,1.0653,548.1382,0,0.0305,0,0,0,0,0,0,0,0,0,0.0411,0,0,0,0,0,0,0,0.0163,0,
1.0694_722.2532,1.0694,722.2532,0,0,0,0,0.0479,0,0,0.0345,0,0,0.033,0,0,0,0,0,0,0,0,0,0,
1.0708_811.2664,1.0708,811.2664,0,0,0,0.0296,0,0,0,0,0,0,0,0,0.0653,0.0317,0,0,0.021,0,0,0,0,
1.0724_291.1538,1.0724,291.1538,0.966,1.1199,1.1244,1.3939,0.8662,0.8317,1.6152,1.6128,1.2979,2.0495,1.7713,1.7169,2.6767,2.3902,2.4766,0.0359,0.726,0.7003,2.1561,2.0367,2.4737,
1.0732_599.3998,1.0732,599.3998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639,0,0,0,0,
1.0735_783.2115,1.0735,783.2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506,0,0,0,0,0,
1.0739_493.1316,1.0739,493.1316,0.0611,0.1082,0.0544,0,0,0.1899,0,0.0464,0.11,0.0563,0.0633,0.0632,0.1677,0.1619,0.0568,0,0.0368,0.1619,0.234,0.0828,0.1028,
1.0746_849.2263,1.0746,849.2263,0,0,0,0.0299,0,0,0,0.0224,0,0,0.0216,0,0,0,0,0,0,0,0.0489,0,0,
1.0757_618.0934,1.0757,618.0934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.0767_705.1806,1.0767,705.1806,0,0,0,0,0,0,0,0,0,0,0,0.0302,0,0,0,0,0,0,0,0,0,
1.078_823.2771,1.078,823.2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501,0.0408,0,0,0,0,0,
1.079_124.0406,1.079,124.0406,0,0.2053,0,0,0,0,0,0,0,0,0,0.0748,0,0,0,0,0,0,0,0,0,
1.0796_941.1913,1.0796,941.1913,0,0,0,0.0338,0.0309,0,0,0,0,0,0,0,0,0,0.0411,0.0717,0,0,0.059,0,0,
1.0798_507.1087,1.0798,507.1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161,0,0,0,
1.0799_875.2598,1.0799,875.2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,
1.0806_484.2353,1.0806,484.2353,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.061,0,0,0,0,
1.0827_927.2507,1.0827,927.2507,0,0,0,0,0.0142,0.0153,0,0,0,0,0,0,0,0,0,0,0,0,0.0423,0,0,
1.084_781.186,1.084,781.186,0.0874,0,0,0,0.1329,0,0,0.0477,0,0,0,0.0562,0.0553,0.0575,0.1785,0,0.0786,0,0,0,0.0729,
1.0858_909.244,1.0858,909.244,0,0,0,0,0,0,0,0.0386,0,0,0,0,0.0658,0,0,0,0,0.0257,0,0.0303,0,
1.0861_604.1551,1.0861,604.1551,0,0,0,0,0,0,0.0257,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,
1.0863_253.0692,1.0863,253.0692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118,0,0,
1.087_320.0926,1.087,320.0926,0,0,0.0688,0,0,0.0753,0,0.1571,0,0,0,0,0,0,0,0,0,0,0.484,0.3053,0,
1.0873_463.1193,1.0873,463.1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848,0,0,
1.0894_695.1929,1.0894,695.1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143,0.0257,0,0,
1.0896_330.1218,1.0896,330.1218,0,0.0566,0,0,0,0,0,0.0434,0,0,0,0.0643,0,0,0,0,0,0.0591,0,0,0,
1.09_579.0909,1.09,579.0909,0,0,0.0173,0,0,0,0,0,0,0.0435,0.0495,0.0124,0,0,0,0.0408,0,0,0.1221,0.0546,0,
1.09_777.2298,1.09,777.2298,0,0,0,0,0,0,0,0,0,0,0,0.0638,0,0.0268,0,0,0,0,0,0,0,
1.0906_823.2203,1.0906,823.2203,0.0456,0,0,0,0,0,0,0.0909,0,0,0.1556,0,0,0,0,0.0974,0.0767,0.0745,0.0714,0.1602,0.0254,
1.0912_608.091,1.0912,608.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.0917_274.089,1.0917,274.089,0.2253,0.1082,0,0.0596,0,0.0947,0,0.2774,0,0,0.2024,0,0,0,0,0.0482,0,0.0703,0.6121,0,0,
1.0919_684.2596,1.0919,684.2596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164,
1.092_885.2416,1.092,885.2416,0,0,0.0199,0,0,0,0,0,0.064,0,0,0,0,0.0382,0,0,0,0,0,0,0.0544,
1.093_693.1234,1.093,693.1234,0,0,0,0,0,0,0,0,0.0199,0,0,0,0,0,0,0.0368,0,0,0.0284,0,0.036,
1.0934_479.1162,1.0934,479.1162,0.3398,0.0793,0.2263,0,0.0483,0.0572,0.292,0.1837,0.3629,0.1847,0.2789,0,0.1719,0.2593,0.3725,0.0948,0.1548,0.0586,0.1713,0,0.6184,
1.0939_408.1792,1.0939,408.1792,0.0517,0,0.024,0.0593,0,0.1194,0.0671,0.0754,0.0819,0.1576,0,0.0635,0.1039,0.0681,0.131,0.0416,0.1151,0.116,0.1943,0,0.217,
1.094_287.0598,1.094,287.0598,0.0313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.0947_579.1421,1.0947,579.1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451,0,0,0,0,0,0,0,
1.095_637.3464,1.095,637.3464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,
1.095_674.3291,1.095,674.3291,0.0854,0,0.2065,0,0,0,0.1347,0,0,0.0616,0,0.0649,0,0.1618,0,0,0,0,0,0,0,
1.0951_390.1809,1.0951,390.1809,0,0,0.0771,0,0.0589,0,0,0,0,0,0,0,0,0,0,0,0.0537,0.0465,0,0,0,
1.0956_528.2457,1.0956,528.2457,0,0.03,0,0,0,0,0.0378,0,0,0.0385,0,0,0,0,0,0.0465,0,0,0,0,0,
1.0957_585.1237,1.0957,585.1237,0,0,0,0,0,0,0,0,0.0336,0.025,0,0,0.0381,0,0,0,0,0,0,0,0,
1.0962_354.16,1.0962,354.16,0.9686,0.4715,0.7141,0,0,0,1.06,0.6986,0.5028,0.5281,0,0,0,0,0,1.7235,1.6637,1.4177,0,0,0,
1.0964_307.0772,1.0964,307.0772,0.5926,0.5708,0,0,0,0,0.9789,0,0,0,0.6238,0,1.0567,0.855,0,0,0,0.517,0,0,0,
1.0968_279.0481,1.0968,279.0481,0,0,0,0,0,0,0.1645,0,0.1091,0,0.1069,0,0.3262,0,0,0.0843,0,0,0,0,0,
1.0968_543.1292,1.0968,543.1292,0,0,0,0.0981,0,0,0.0346,0,0,0,0.0611,0,0,0,0.0845,0,0,0.06,0,0,0,
1.0979_394.1629,1.0979,394.1629,0.0269,0,0,0.0607,0,0.1662,0.0785,0.0636,0,0.1822,0.0806,0,0,0.1,0.0633,0.0269,0,0.0939,0.2078,0,0.102,
1.0983_327.1673,1.0983,327.1673,0.1414,0.3829,0.25,0.0888,0.0431,0.0378,0.1121,0.0865,0,0.1119,0.0557,0.1184,0.0494,0.1515,0.0567,0.0456,0,0.0566,0,0.0121,0,
1.0984_528.9159,1.0984,528.9159,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243,0,
1.0988_702.258,1.0988,702.258,0,0,0.0268,0,0,0.0177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.0989_339.1434,1.0989,339.1434,1.3345,2.1573,0,1.3905,0.9578,1.4138,1.2144,0,1.7035,1.8657,0,0,1.8476,0,0,0,0.1434,0,0.8832,0.9392,1.0594,
1.0994_778.4705,1.0994,778.4705,0,0,0,0,0,0,0.0117,0,0.0172,0,0,0,0,0,0,0,0,0,0,0,0,
1.0999_739.2297,1.0999,739.2297,0,0.0405,0,0,0,0,0,0,0,0,0,0,0,0.0528,0,0.0678,0,0,0,0.0526,0,
1.1_775.174,1.1,775.174,0,0,0,0.0842,0.0814,0,0,0.0325,0,0,0,0,0.0983,0,0,0,0,0,0,0,0.1084,
1.1002_746.1296,1.1002,746.1296,0.503,0.3174,0.3327,0,0.0996,0,0.1476,0.0469,0.1007,0.069,0.248,0.1966,0.1026,0,0.1108,0.2317,0.2194,0.1405,0.3295,0,0.3203,
1.1002_166.0467,1.1002,166.0467,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0.1139,0,0,0,0.3154,0,0,0.1341,
1.1014_903.095,1.1014,903.095,0,0,0,0.0405,0,0,0,0,0,0,0.0557,0,0,0,0,0,0,0.0393,0,0,0,
1.1015_948.1305,1.1015,948.1305,0,0,0.0684,0,0,0,0,0,0.0564,0,0,0,0,0,0,0,0,0,0.0411,0.0363,0,
1.1016_370.0741,1.1016,370.0741,0,0,0,0,0,0,0,0,0,0,0,0.0363,0,0,0,0,0.0211,0,0.0156,0,0,
1.1018_529.1639,1.1018,529.1639,0,0,0,0,0.0613,0,0.0164,0,0,0,0,0,0,0,0.0388,0,0,0,0,0,0,
1.1018_800.2531,1.1018,800.2531,0,0,0,0.0149,0,0,0,0,0,0,0,0,0,0,0,0,0.0268,0,0,0,0,
1.1025_896.2581,1.1025,896.2581,0,0.0494,0,0,0,0,0,0,0,0.0195,0,0,0.0386,0,0,0,0,0,0.0375,0,0,
1.1032_469.1255,1.1032,469.1255,0,0,0,0,0,0,0,0.0696,0,0,0,0,0,0,0,0,0,0,0,0.2053,0,
1.1032_762.3848,1.1032,762.3848,0,0.0842,0,0,0,0,0,0,0,0,0.0555,0,0,0,0,0,0,0.0583,0,0.0671,0,
1.1038_518.9994,1.1038,518.9994,0,0,0,0,0,0,0,0,0,0,0.0428,0.0363,0.0564,0,0,0.0162,0,0,0,0,0,
1.1047_458.1755,1.1047,458.1755,0,0,0,0,0,0.2704,0.1327,0.0788,0.0989,0,0,0,0.3266,0.0682,0.3721,0.4241,0.1993,0.2089,0.1042,0,0,
1.105_521.1187,1.105,521.1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1062_638.2109,1.1062,638.2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1065_470.2599,1.1065,470.2599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262,0,0,0.0169,0,0,0,
1.1067_636.4124,1.1067,636.4124,0.0248,0,0,0,0,0.0309,0,0.0219,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1071_805.4267,1.1071,805.4267,0,0,0,0,0,0,0.0488,0,0,0,0,0,0,0,0.0229,0,0.0426,0,0,0,0.0736,
1.1074_590.0985,1.1074,590.0985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1077_849.453,1.1077,849.453,0,0,0,0,0,0,0,0,0,0,0.0149,0,0,0,0.0346,0,0,0,0.0211,0,0,
1.108_497.234,1.108,497.234,0,0.0969,0,0,0.0476,0,0,0,0.1103,0.1037,0,0.1085,0,0,0.1191,0,0,0,0.0785,0,0,
1.1082_592.3837,1.1082,592.3837,0,0,0,0,0,0,0,0,0,0,0.0133,0,0,0,0,0.0335,0.0386,0,0,0,0,
1.1083_199.5717,1.1083,199.5717,0.0728,0,0.0586,0,0,0,0,0,0,0.0341,0.098,0,0,0.1232,0,0.1451,0.0559,0,0,0.1165,0,
1.1087_939.2279,1.1087,939.2279,0,0,0.0304,0,0,0,0.0694,0,0,0,0,0,0.0546,0,0.0147,0,0,0,0.0186,0,0,
1.1089_351.07,1.1089,351.07,0.2334,0.4951,0.4025,0,0.6011,0.242,1.1269,1.2645,0.6918,0.4389,1.0402,0.4836,2.031,1.1051,1.7394,0,0.7558,0,1.8051,0,1.5884,
1.1093_724.4743,1.1093,724.4743,0,0,0,0,0,0,0,0.0186,0,0,0,0,0.036,0,0,0,0,0,0,0,0,
1.1093_839.0363,1.1093,839.0363,0,0.0438,0,0,0,0,0.0354,0,0,0.0323,0,0,0.0582,0,0,0,0,0,0,0.0431,0,
1.1093_607.2013,1.1093,607.2013,0,0.119,0.0699,0.0758,0.0893,0,0.064,0,0,0,0,0.0426,0.0486,0.1053,0.0797,0,0,0,0.0679,0,0.1112,
1.1095_939.7954,1.1095,939.7954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1097_983.2011,1.1097,983.2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0,0,0,0,0.08,0.0331,0,
1.1098_701.3841,1.1098,701.3841,0,0.069,0,0.0447,0,0,0.0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1101_150.1133,1.1101,150.1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1105_613.3366,1.1105,613.3366,0,0.0322,0,0,0,0,0,0.0762,0,0,0.0537,0.0189,0,0,0,0,0,0,0,0,0,
1.1109_813.0404,1.1109,813.0404,0.0556,0.0656,0,0,0,0.0214,0,0.0194,0,0,0.0598,0,0,0,0.036,0,0,0,0,0.038,0,
1.1116_645.1485,1.1116,645.1485,0.1346,0.1262,0.1418,0,0.0619,0,0.0997,0.0573,0.0985,0.0729,0,0.0891,0.1385,0,0,0.0854,0.1042,0,0,0,0.1099,
1.1117_973.1277,1.1117,973.1277,0,0,0.0765,0,0,0,0,0,0.0513,0,0,0,0,0,0.0395,0,0,0,0.0549,0,0,
1.112_706.4148,1.112,706.4148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561,0,0,0.0218,0,
1.1125_417.9036,1.1125,417.9036,0,0,0,0,0.048,0,0.0479,0,0,0,0,0,0,0,0,0,0,0,0,0.0173,0,
1.1128_936.172,1.1128,936.172,0.0242,0,0,0,0,0,0,0,0,0,0,0,0.0484,0,0.0522,0,0,0.0345,0.0318,0,0,
1.1129_951.121,1.1129,951.121,0,0,0.0263,0,0,0,0.0207,0,0,0,0,0,0,0.0306,0,0,0.0348,0,0,0,0,
1.113_812.5316,1.113,812.5316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.1131_731.1423,1.1131,731.1423,0,0,0,0,0,0,0,0,0,0,0,0,0.0498,0.0758,0,0,0,0,0,0,0,
1.1132_212.5644,1.1132,212.5644,0,0,0,0,0,0.0406,0,0,0.0158,0,0,0,0,0,0,0,0,0.0258,0,0.0274,0,
1.1133_397.9473,1.1133,397.9473,0,0.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228,0.014,0,0,0,
1.1134_776.2202,1.1134,776.2202,0,0,0,0,0,0,0,0,0,0.0246,0,0,0,0,0,0,0.0632,0,0,0,0,
1.1136_991.2366,1.1136,991.2366,0,0,0,0,0.0294,0,0.0423,0,0,0,0,0,0,0,0.0379,0,0,0.0444,0,0,0,
